"wages,num_children,pre_tax_deductions,itemized_deductions,raise_percent,months_elapsed,pay_frequency_biweekly,pay_frequency_monthly,pay_frequency_weekly,adjusted_wages,tax,target_with_noise,target_tax_bracket"
"113104,0,16385,1,10.967640723913078,7,True,False,False,109123.84036437464,-7402.97646811722,7229.907229149972,10912.384036437465"
"83707,3,374,1,17.585102296927694,5,False,True,False,98052.96157968926,777.6850987305788,344.2369263751407,9805.296157968927"
"115305,1,12197,1,13.511601839005197,3,False,True,False,118687.55250046494,-10288.829281232564,5995.004200037196,11868.755250046495"
"58693,2,4648,1,10.939265027427762,4,False,False,True,60465.58282254818,-5392.32085887259,-662.7533741961452,6046.558282254819"
"101932,0,2365,1,16.595262405752898,4,False,True,False,116482.88287543206,1577.394143771602,7818.630630034564,11648.288287543206"
"123016,4,17909,0,12.122931298669595,6,False,False,True,120020.1451663714,-11564.314112522146,1601.6116133097112,12002.01451663714"
"136970,4,1646,1,5.8228849557035804,10,False,True,False,143299.6055238272,10472.2006904784,1963.968441906176,14329.96055238272"
"55658,3,13,1,4.141898363531425,1,False,False,True,57950.29779117432,-4288.458777610321,-2863.9761767060545,5795.029779117433"
"114478,1,4599,0,3.046555713253576,11,False,True,False,113366.63604941843,10621.274956795034,7069.330883953475,11336.663604941845"
"48431,0,2278,0,17.989104250922033,4,False,False,True,54865.30307976405,579.1651539882027,4389.224246381124,5486.530307976405"
"32747,1,14296,1,14.202708635961317,10,True,False,False,23101.96099701825,-12621.25487537272,-1651.84312023854,2310.196099701825"
"89150,0,3155,0,18.747568763286417,4,False,False,True,102708.45755246983,2138.172877623492,8216.676604197586,10270.845755246984"
"95725,3,8321,0,12.06583611429886,10,False,False,True,98954.02162041258,2088.37770255157,1916.3217296330058,9895.402162041259"
"114654,3,3814,1,9.46801762989825,1,False,False,True,121695.46093338353,-7245.131738332706,2235.636874670683,12169.546093338353"
"65773,4,13125,0,1.1943297794177865,9,False,True,False,53433.54652581646,-9637.163515845648,-3725.316277934683,5343.354652581646"
"149346,1,3216,0,13.432845630920596,4,False,True,False,166191.41763595468,4254.370881797735,11295.313410876375,16619.141763595468"
"97435,4,2113,1,11.644175195364625,7,False,True,False,106667.50210160352,1405.293933890307,-966.5998318717193,10666.750210160353"
"86886,1,10238,1,19.80417787175243,12,True,False,False,93855.05798565083,2375.958697847624,4008.4046388520665,9385.505798565084"
"96803,4,13760,0,4.783175555644861,3,True,False,False,87673.2574331309,-13956.25284625759,-986.1394053495278,8767.325743313091"
"61551,2,12588,0,10.614747105736717,10,False,False,True,55496.482991052006,-6077.439626118501,439.7186392841604,5549.648299105201"
"146216,2,3374,1,13.019146702361454,12,True,False,False,161878.07554232483,17413.811331348723,7450.246043385987,16187.807554232484"
"41394,2,6430,0,12.891823494846872,3,False,False,True,40300.44141745692,-6677.6084468453655,-775.9646866034464,4030.044141745692"
"99092,2,19850,0,11.225870858968054,8,False,False,True,90365.93995156861,-10828.40600484314,3229.275196125489,9036.593995156862"
"33890,0,19465,0,15.53856020654451,8,False,False,True,19691.018053997934,-15549.398194600206,1575.2814443198347,1969.1018053997934"
"71606,2,11970,1,4.099624190536328,11,True,False,False,62571.57689787545,-5720.533176542127,-494.27384816996437,6257.157689787546"
"126276,3,629,0,14.512544005488316,12,False,True,False,143972.8600683704,18061.279010255563,5517.828805469633,14397.286006837043"
"110038,3,16653,0,12.394691428661783,1,True,False,False,107023.87055427086,-18107.03911807161,2561.9096443416693,10702.387055427087"
"117313,0,10831,1,17.921502235891467,10,False,False,True,127506.25191799135,4461.156489748915,8700.500153439309,12750.625191799136"
"40627,2,5724,0,16.943888780671635,2,False,False,True,41786.793694923464,-6536.230157626914,-657.0565044061227,4178.679369492346"
"38792,2,11083,0,6.302940782651065,8,True,False,False,30154.036788405996,-8959.2963211594,-1587.6770569275204,3015.4036788405997"
"138859,2,13149,1,5.5247464995030615,1,False,False,True,133381.60774174496,-15317.367403228189,5170.528619339597,13338.160774174496"
"138557,4,19816,1,19.63306647704896,12,False,False,True,145943.98791860475,-952.0018122092916,2175.519033488379,14594.398791860476"
"103969,1,9472,1,10.54530361830513,8,True,False,False,105460.84671891565,-978.7153281084356,4936.867737513252,10546.084671891565"
"73001,4,6276,1,18.12841927828873,8,True,False,False,79958.92735734355,-3652.5072642656432,-3103.2858114125156,7995.8927357343555"
"106552,1,15635,0,3.277620475609644,2,True,False,False,94409.37016917158,-13883.89074577071,5552.749613533727,9440.937016917158"
"53897,2,5895,0,12.856378296003486,4,False,False,True,54931.20221019699,-4853.68988949015,394.4961768157591,5493.1202210197"
"98148,2,13994,1,16.197203747211724,6,False,False,True,100051.23153381336,-9440.607634964,2504.0985227050696,10005.123153381337"
"53483,4,10552,1,18.947904991728937,12,False,True,False,53064.908026726385,-7009.463795991043,-5254.807357861889,5306.490802672639"
"78555,4,16959,0,6.74680282034047,11,False,True,False,66895.95095551846,-9428.944243616212,-2648.3239235585224,6689.5950955518465"
"47159,1,6099,1,14.499623398481049,9,True,False,False,47897.87739848968,-3024.3512926699104,331.8301918791749,4789.787739848968"
"140510,3,9499,0,10.77626018079238,8,False,True,False,146152.72318003137,3066.1723180031368,5692.21785440251,14615.272318003139"
"136530,1,19576,1,1.2125785213293638,12,False,False,True,118609.53345517098,-1848.1699817243532,5988.7626764136785,11860.953345517099"
"110077,4,3178,0,13.799994746178868,8,False,True,False,122089.62021675133,5348.762021675133,1767.169617340107,12208.962021675134"
"65920,4,19118,1,13.80193116475687,7,False,False,True,55900.23302380773,-18553.904610416823,-5027.981358095381,5590.023302380773"
"122067,0,6116,1,18.61213609693074,9,True,False,False,138670.27616944045,8172.456069062051,9593.622093555236,13867.027616944046"
"97121,4,15563,0,9.946248923379448,2,True,False,False,91217.89641687536,-16893.477589578117,-702.568286649971,9121.789641687536"
"99479,0,3568,1,4.605018414210294,3,False,False,True,100492.02626827227,-1665.74901493979,6539.362101461782,10049.202626827228"
"119475,3,9847,0,0.891276468973583,10,False,True,False,110692.85256130618,2220.4815701632724,2855.428204904494,11069.285256130619"
"49457,1,14135,0,8.312843733718115,8,True,False,False,39433.28312538497,-9778.171687461503,1154.662650030798,3943.3283125384974"
"96557,1,18587,0,6.038334001550036,6,True,False,False,83800.43416187666,-11907.94243785925,4704.034732950133,8380.043416187667"
"107189,0,17774,0,15.221766120477511,10,False,True,False,105731.05888687864,-2335.8676391401714,8458.484710950292,10573.105888687865"
"139109,1,1742,0,7.085355296820932,9,False,True,False,147223.36689985462,14016.603776233642,9777.869351988369,14722.336689985463"
"108953,4,18309,1,18.98142392629688,10,False,False,True,111324.83081041822,-8104.771148697724,-594.0135351665413,11132.483081041823"
"82995,2,619,1,19.246204059755684,4,False,True,False,98349.38705939423,329.4193529697104,2367.950964751538,9834.938705939423"
"70757,0,17658,0,12.41817180435416,8,False,True,False,61885.725823606874,-9703.627417639313,4950.85806588855,6188.572582360688"
"39692,1,17340,1,18.57320574029766,10,False,True,False,29724.076822438947,-14456.990397195132,-1122.0738542048844,2972.4076822438947"
"75758,0,1939,0,15.217086890289911,3,False,False,True,85347.16068634583,1334.2310257379686,6827.772854907666,8534.716068634583"
"102409,0,16001,1,10.937192819502524,3,False,False,True,97608.66979452434,-13740.637382705338,6308.693583561947,9760.866979452434"
"101211,2,968,1,3.6061587084555615,8,True,False,False,103892.82929041496,5518.082929041495,2811.4263432331973,10389.282929041496"
"95697,4,14846,1,9.1719588702768,5,False,False,True,89628.28948008879,-14316.35690749445,-2329.736841592897,8962.828948008879"
"67065,0,281,1,11.217489267252352,3,True,False,False,74307.00917708279,516.0503441406045,4444.560734166623,7430.700917708279"
"122093,1,15360,0,17.279231614700205,10,False,True,False,127829.7322553359,1538.7165319169872,8226.378580426872,12782.973225533591"
"129299,3,6262,0,9.6266675307133,11,True,False,False,135484.18485053699,10228.100416948831,4838.734788042959,13548.418485053699"
"62606,0,1058,1,17.953493453559133,1,True,False,False,72787.96411153524,-2134.9254486058094,4323.03712892282,7278.796411153525"
"41534,0,10724,1,13.486979580469376,3,False,True,False,36411.68209895215,-10956.411921289297,1412.934567916172,3641.168209895215"
"124663,2,5178,0,2.7399812610734275,12,True,False,False,122900.74283949196,12033.811425923795,5832.059427159356,12290.074283949196"
"70397,4,6980,1,19.89962738650186,9,False,False,True,77425.74069127571,-3484.354172231482,-3305.940744697943,7742.574069127571"
"121387,3,9200,0,10.544653215078252,5,False,False,True,124986.83819818703,-3813.3226126133104,3998.9470558549638,12498.683819818703"
"31016,1,1229,0,7.8371659281815775,12,False,False,True,32217.775384284796,2788.016307642719,577.4220307427836,3221.7775384284796"
"119789,3,8467,0,13.18227528939053,10,False,False,True,127112.91574640802,5480.4894683010025,4169.033259712642,12711.291574640803"
"85591,1,19124,1,2.177866279620781,2,True,False,False,68331.05752739022,-19937.62356181525,1966.484602191218,6833.105752739022"
"119812,4,2289,0,12.730772935067089,7,True,False,False,132775.99366896256,5529.186946034224,2622.079493517005,13277.599366896256"
"53247,1,1239,1,9.96472000998546,2,False,True,False,57313.91446371695,-2775.177138407076,1085.1131570973566,5731.391446371696"
"54300,2,5370,0,8.133481399971663,4,True,False,False,53346.480400184606,-4434.17597999077,267.71843201476895,5334.648040018461"
"104065,2,16170,1,19.060400423577985,12,True,False,False,107730.20570079642,-1584.9691448805388,3118.4164560637128,10773.020570079643"
"112798,2,125,1,10.450794334641063,7,True,False,False,124461.28699358844,6776.300111938988,4456.902959487075,12446.128699358844"
"39268,2,12504,1,4.3823495893987685,4,False,True,False,28484.861036765105,-14454.556948161746,-3221.2111170587914,2848.4861036765105"
"116807,3,15398,0,9.179269587545972,7,False,False,True,112131.02942712483,-7239.209925126579,2970.482354169986,11213.102942712483"
"42185,4,6638,0,18.387748091453453,7,True,False,False,43303.871532379635,-6268.086240916782,-4535.690277409629,4330.3871532379635"
"93704,1,6570,1,3.5219094266118933,1,False,True,False,90434.17000911242,-8357.447874886095,3734.733600728994,9043.417000911242"
"116779,1,3249,1,4.279140773764738,6,False,True,False,118527.13780419473,2884.210335314605,5982.171024335579,11852.713780419474"
"69099,2,9110,1,0.260591355141675,9,False,True,False,60169.06602048935,-5316.105072694949,-686.4747183608515,6016.906602048935"
"38571,2,7595,0,0.2838009879153436,2,False,False,True,31085.464879048828,-8627.98837802378,-1513.1628096760937,3108.546487904883"
"135512,0,13605,0,16.58783253917025,3,True,False,False,144385.50363048038,-7680.356113856986,11550.840290438431,14438.550363048038"
"68044,4,12115,0,14.642452136859117,10,False,True,False,65892.31013200441,-6364.086233499449,-2728.615189439647,6589.231013200441"
"81214,3,6294,0,7.100821129039165,5,False,False,True,80686.86087173787,-3857.6961955163833,454.94886973902976,8068.686087173787"
"91228,1,5757,1,13.966223144551456,9,False,True,False,98212.1060503114,2939.5244306600307,4356.968484024912,9821.21060503114"
"144752,0,12595,1,7.9041185261994045,4,False,True,False,143598.36964904418,-6785.331517547791,9987.869571923535,14359.836964904418"
"78984,0,1969,0,19.05793591995655,1,False,True,False,92067.72010701848,-793.540998662269,7365.417608561479,9206.772010701849"
"70774,1,10985,0,19.341053628520697,4,False,True,False,73477.43729504924,-7761.878135247538,3878.1949836039394,7347.743729504924"
"32568,3,17275,1,7.855875516186868,6,False,True,False,17851.50153811174,-19640.51238464162,-6071.87987695106,1785.1501538111743"
"92592,0,4470,0,17.08443812681736,5,False,False,True,103940.82295038273,2305.6764343989207,8315.26583603062,10394.082295038274"
"97563,0,10225,0,15.461780833949325,1,True,False,False,102422.97723502597,-8816.900284562176,8193.838178802078,10242.297723502597"
"32695,4,9556,0,6.199998743435787,4,True,False,False,25166.08958916633,-11819.895520541682,-5986.712832866693,2516.608958916633"
"78190,3,9206,0,4.640796578022119,6,True,False,False,72612.63884435549,-6069.602086673339,-190.9888924515608,7261.26388443555"
"35258,0,9991,0,9.164693007856677,10,True,False,False,28498.287460710104,-5179.839067411237,2279.8629968568084,2849.8287460710108"
"117538,3,7519,0,15.626976812288124,10,False,False,True,128386.63600562722,6469.204500703403,4270.930880450178,12838.663600562722"
"69504,1,13669,1,19.20335569457491,4,False,False,True,69182.10034195734,-12526.444982902132,2034.5680273565877,6918.210034195734"
"63159,2,4612,0,15.27158137733145,9,False,False,True,68192.37808210877,1578.4925342372362,1455.3902465687015,6819.237808210877"
"43986,0,12373,0,17.1041397003674,5,False,True,False,39136.4268886036,-9153.660819462277,3130.9141510882882,3913.64268886036"
"91858,4,17582,1,12.06128612341033,8,False,True,False,85355.25620724226,-13288.274379275774,-2671.5795034206194,8535.525620724226"
"42666,1,15552,1,16.70815661684252,9,False,True,False,34242.70210214202,-12950.09601350902,-760.5838318286383,3424.2702102142025"
"68660,3,14646,1,15.688417160068353,10,True,False,False,64785.66722210293,-9717.041597237134,-2317.146622231766,6478.566722210293"
"33561,1,5238,0,7.539710838525602,5,False,True,False,30853.40235451758,-3982.287352842652,468.2721883614063,3085.3402354517584"
"56854,0,15577,1,11.039806042414424,6,True,False,False,47553.5713273543,-12842.207150448428,2304.285706188344,4755.35713273543"
"94505,3,15504,0,16.095062439793896,1,False,True,False,94211.6387587272,-17132.55451551591,1536.9311006981761,9421.16387587272"
"134488,2,3719,0,0.9211346837991274,11,True,False,False,132007.81561354778,12943.43714686282,6560.6252490838215,13200.78156135478"
"82251,1,302,0,16.1615856471166,12,False,True,False,95242.06581060989,13029.609871591483,5619.365264848791,9524.20658106099"
"52662,0,12144,1,3.5577624809804687,7,False,True,False,42391.588877733935,-9372.13597319828,1891.327110218715,4239.158887773394"
"38392,4,17370,1,10.29367234242878,4,False,False,True,24973.946685705254,-21252.80266571474,-7502.08426514358,2497.3946685705255"
"60535,3,10055,1,16.165508791118754,11,False,True,False,60265.790746703744,-5385.891272328236,-2678.7367402637,6026.579074670375"
"108603,1,4440,1,5.076421563133897,2,False,True,False,109676.14611021032,-4587.096347244742,5274.091688816827,10967.614611021032"
"143569,1,3072,1,4.91614878612306,5,False,False,True,147555.06565074902,3342.1916031718138,8304.405252059922,14755.506565074902"
"82256,2,13598,0,8.055287969245038,12,True,False,False,75283.95767198219,-2265.706349202672,2022.7166137585755,7528.39576719822"
"119135,2,14287,0,17.89285595155269,3,False,False,True,126164.65393788228,-11020.062977329417,6093.1723150305825,12616.465393788229"
"65222,4,13965,0,0.0088556287441576,6,False,False,True,51262.775818179514,-13072.916813636535,-3898.977934545639,5126.277581817952"
"107373,4,19508,0,18.027661932838697,8,True,False,False,107221.84144714689,-10835.015855285312,577.7473157717504,10722.184144714689"
"109575,0,9519,1,3.076140492832156,7,False,True,False,103426.68094502084,-1636.2529173106775,6774.134475601668,10342.668094502085"
"126354,0,13380,1,19.80172752134964,3,True,False,False,137994.27479232612,-9703.46469528777,9539.54198338609,13799.427479232612"
"114651,4,11865,0,19.09693986076936,8,False,True,False,124680.83251977069,-2210.416748022932,1974.4666015816547,12468.08325197707"
"93335,4,8125,1,9.893503791825664,2,False,True,False,94444.10176410047,-11560.772455897488,-1944.4718588719625,9444.410176410047"
"40965,3,3291,1,10.254404956252564,10,True,False,False,41874.71699032886,-2645.285376208893,-4150.022640773692,4187.471699032886"
"54538,2,4033,0,9.630986805517086,9,False,False,True,55757.547583992906,693.4366031992013,460.6038067194322,5575.754758399291"
"138066,0,5105,0,12.708872913190453,4,True,False,False,150507.63247632553,2675.631623816276,12040.610598106043,15050.763247632553"
"100592,2,17087,1,1.814434044698621,1,False,True,False,85330.17549424325,-19806.78530632196,1326.4140395394597,8533.017549424325"
"128018,2,8133,1,0.6523589668313301,8,True,False,False,120720.13690215813,752.313690215813,4157.61095217265,12072.013690215814"
"143252,4,16958,0,1.1540585683179772,7,True,False,False,127947.21198028687,-8278.7939517249,2235.77695842295,12794.721198028688"
"38110,3,5704,0,8.887306984830287,11,False,True,False,35792.95269191882,-2998.1690048611617,-3136.5637846464942,3579.295269191882"
"109309,1,7848,0,5.510958784389668,5,False,False,True,107484.97393762851,-1639.6891288982188,6598.797915010282,10748.497393762853"
"57266,3,12975,1,12.440791247419876,10,True,False,False,51415.34351574747,-9926.207060531566,-3386.772518740203,5141.534351574747"
"82992,3,6924,0,19.84884578749558,5,False,True,False,92540.95409595832,-3707.4403690026056,1403.2763276766664,9254.095409595833"
"112948,2,19614,0,7.726463461529319,7,False,True,False,102060.88595052814,-10967.447479328786,4164.870876042251,10206.088595052815"
"128806,3,488,1,11.476825082090269,5,True,False,False,143100.8393152372,3486.302457202324,3948.0671452189745,14310.083931523719"
"36910,0,7114,1,8.31207791814671,8,False,False,True,32863.98795958795,-5116.2012040412055,1129.1190367670356,3286.398795958795"
"140989,2,15740,1,16.94543335443719,11,True,False,False,149140.19703208745,2931.027091912023,6431.215762566997,14914.019703208745"
"120982,0,3173,1,18.04472806924476,6,False,False,True,139639.8729127337,5537.965468455028,9671.189833018696,13963.98729127337"
"149176,1,1667,1,17.5471122441052,5,False,False,True,173685.08016126635,6292.505010079147,10394.806412901307,17368.508016126634"
"30206,2,4114,0,19.487444773585157,9,False,False,True,31978.37756830913,-2053.607523565223,-1441.7297945352698,3197.8377568309133"
"117054,1,3553,0,0.5503837028083058,11,False,False,True,114145.24613948524,11630.50884417922,7131.6196911588195,11414.524613948524"
"117897,2,7761,1,16.79632324291062,2,True,False,False,129938.36121369436,-8318.515969657641,4895.068897095549,12993.836121369437"
"53419,4,1000,1,15.035443460781863,1,False,True,False,60450.78354231507,-6231.865205721062,-4663.937316614794,6045.078354231508"
"80636,3,15638,1,4.573888188007295,8,False,True,False,68686.20047928157,-12205.579952071845,-2005.1039616574744,6868.620047928158"
"144238,4,17772,1,19.126401867750552,12,False,True,False,154053.53952600606,2001.8309289009085,2824.2831620804845,15405.353952600606"
"80015,1,5450,1,2.9635585645989093,3,False,True,False,76936.29138546382,-5360.514073045108,2654.903310837106,7693.629138546382"
"147478,3,3712,0,13.590998542678168,11,False,True,False,163809.73283077092,16322.238264231,7104.778626461673,16380.973283077094"
"137059,2,1367,0,4.49780433631825,12,False,True,False,141856.64564531445,18116.54684679717,7348.531651625157,14185.664564531446"
"84268,3,8189,0,8.627612975481494,12,True,False,False,83349.31690217875,2541.747535326811,667.9453521742998,8334.931690217874"
"140687,0,9013,0,14.383197938891378,12,False,False,True,151909.28968428812,15125.343452643216,12152.74317474305,15190.928968428812"
"117939,3,16838,1,11.266492840660934,7,False,True,False,114388.58899134709,-10355.67346325713,1651.0871193077674,11438.85889913471"
"48141,0,19156,0,8.550036626562234,10,True,False,False,33101.07313239333,-12623.865858450834,2648.085850591466,3310.107313239333"
"110356,3,3726,1,6.526768618639744,11,False,True,False,113832.68077678607,7438.318606808087,1606.6144621428866,11383.268077678607"
"135878,0,4806,1,16.793193114175807,8,False,True,False,153890.2549396798,9063.625493967982,10811.220395174385,15389.025493967982"
"101910,1,2190,1,2.876287006296274,6,False,False,True,102651.22408811653,2673.09180660874,4712.097927049323,10265.122408811654"
"86044,4,9108,0,8.602057530596001,12,False,False,True,84337.55438162602,908.833157243902,-1252.9956494699181,8433.755438162601"
"97214,2,12178,1,18.075151435502843,10,False,False,True,102607.57771650974,-1829.8027854362824,2708.6062173207793,10260.757771650975"
"147930,3,2875,0,16.916991009199354,9,False,True,False,170080.3047999086,13582.471789989717,7606.424383992688,17008.03047999086"
"149324,4,5592,0,8.018835249460935,7,False,True,False,155706.04554790506,4521.578985441691,4456.4836438324055,15570.604554790507"
"63827,2,17824,1,15.262167272026163,10,False,True,False,55744.38350471614,-12627.952061910482,-1040.4493196227086,5574.438350471614"
"85820,2,12592,1,16.463216614177185,5,False,False,True,87356.73249828686,-10345.20421885707,1488.538599862949,8735.673249828686"
"92623,0,8927,1,17.777748480072596,8,True,False,False,100162.28397469765,-18.0716025302354,6512.982717975812,10016.228397469766"
"111734,1,14437,0,10.89011538098456,2,False,True,False,109464.9615197893,-12339.450962005269,6757.196921583145,10946.49615197893"
"105450,1,11530,1,4.089217721094236,7,False,True,False,98232.08008689387,-4925.817992396787,4358.56640695151,9823.208008689387"
"123426,4,7010,0,5.106181530078633,4,False,True,False,122718.35561531484,-4523.5822192342575,1817.4684492251872,12271.835561531485"
"147845,1,11207,1,5.913893480832084,9,True,False,False,145381.3958167362,3409.194529382825,8130.511665338898,14538.139581673622"
"52299,3,2989,1,11.87604961619231,12,False,True,False,55521.055188772414,787.5082783158614,-3058.315584898207,5552.105518877242"
"73585,1,12040,0,0.6561924825721688,1,True,False,False,62027.85923830072,-12114.15175952124,2962.2287390640577,6202.7859238300725"
"139225,4,9218,0,12.720849375599366,7,False,True,False,147717.60254317822,513.865222528093,3817.408203454257,14771.760254317822"
"94044,1,6471,0,7.28708476856464,6,True,False,False,94426.06599974893,96.279949981169,5554.085279979914,9442.606599974893"
"72557,3,2863,0,5.904836049792843,8,False,True,False,73978.3718926482,1821.1371892648197,-81.7302485881446,7397.83718926482"
"79080,0,10693,0,17.58993141456253,5,False,False,True,82297.11776263604,-4881.117639835247,6583.769421010884,8229.711776263604"
"139556,4,1177,0,9.20004791161598,1,False,False,True,151218.2188635348,-3272.059764205815,4097.457509082784,15121.82188635348"
"32693,0,4760,1,1.901060910653856,1,False,False,True,28554.513843520064,-6343.568576956,784.3611074816054,2855.4513843520067"
"125003,0,11,1,16.53493536052494,9,False,False,True,145661.165248717,14377.118590480664,10152.893219897362,14566.1165248717"
"125259,0,16353,0,0.952825148730132,10,False,True,False,110099.49925304789,-546.4375933690153,8807.95994024383,11009.94992530479"
"142235,2,11556,1,14.534984483363932,6,False,False,True,151352.8351799127,-3337.8373615065466,6608.226814393018,15135.283517991273"
"99163,2,11563,0,15.478124435413305,10,True,False,False,102948.57253388889,750.9465667361092,4235.885802711111,10294.85725338889"
"55939,0,14051,1,7.052052118577164,5,False,False,True,45832.84743461088,-12308.25953533682,2166.6277947688704,4583.284743461088"
"78925,4,11022,1,16.495757125555734,1,False,False,True,80922.27631134486,-15872.696546108187,-3026.217895092411,8092.227631134487"
"72941,3,8234,0,10.31318811712907,6,False,False,True,72229.54254451512,-5199.234309161367,-221.63659643879055,7222.9542544515125"
"51834,3,16173,0,9.265873065455937,6,False,True,False,40463.87264474844,-14925.234551643867,-2762.890188420125,4046.387264474844"
"48047,1,13178,0,0.9080656293738508,3,False,False,True,35305.29829294525,-12359.876314014551,824.4238634356198,3530.529829294525"
"56105,4,6570,1,5.800583872978118,8,True,False,False,52789.41758193438,-6634.058241806562,-5276.84659344525,5278.941758193439"
"105766,2,406,0,18.620199417706,1,False,False,True,125053.84011613093,-837.7519985483636,6004.307209290475,12505.384011613094"
"45707,0,9206,1,7.83647926567,1,False,False,True,40082.81957795978,-10589.889755275502,1706.6255662367826,4008.281957795978"
"51976,1,4431,0,10.934010411135366,6,False,False,True,53228.06125129172,-1106.5704061531214,2258.2449001033374,5322.806125129173"
"74262,3,6542,1,10.640433579685036,10,True,False,False,75621.7987849457,-1271.5251518817895,-1450.2560972043439,7562.17987849457"
"53776,2,8906,1,11.808621796453869,1,False,False,True,51220.20445726104,-12154.422444284235,-1402.383643419117,5122.020445726104"
"60080,2,4146,0,1.2266191128656525,6,True,False,False,56670.952763009685,-1584.7285427742745,533.6762210407751,5667.095276300969"
"96842,0,12046,1,7.243525095974565,1,True,False,False,91810.77457344369,-12747.790317831954,5844.861965875495,9181.077457344369"
"91373,3,12611,1,14.462565477651085,6,False,False,True,91976.87995389412,-9766.909003457942,-141.84960368846987,9197.687995389413"
"36776,4,13076,0,4.011205021459658,3,True,False,False,25175.160758692007,-15641.581471549049,-5985.98713930464,2517.516075869201"
"122787,2,16524,1,4.071567550927209,8,False,True,False,111262.355648757,-7745.3644351243,3400.988451900561,11126.2355648757"
"85016,0,4882,0,0.2018121337804945,6,False,False,True,80305.57260365483,1507.0679452741124,6424.445808292387,8030.557260365484"
"39474,4,14113,0,8.749638532164195,11,False,False,True,28814.832314186497,-12210.423056799356,-5694.813414865081,2881.4832314186497"
"135830,3,13645,0,17.65468761346844,1,True,False,False,146165.3621853742,-14647.370472682822,5693.228974829935,14616.53621853742"
"88053,2,6012,0,1.0380188717461802,5,True,False,False,82955.00675713866,-2451.5620776788346,2636.400540571093,8295.500675713867"
"51959,4,17347,1,3.822374189920053,8,False,False,True,36598.06740534057,-17952.493259465944,-6572.154607572755,3659.806740534057"
"35530,4,7151,1,6.201690766855101,3,False,True,False,30582.460729463623,-11735.995222645111,-7053.40314164291,3058.2460729463623"
